TagID_Hex,DetectDateTime,RecSN,FracSec,nPRI,SigStr,Thresh
2D9F,2020-04-04 01:06:16,17126,,5,,
2D9F,2020-04-04 01:06:21,17126,,5,,
2D9F,2020-04-04 01:06:26,17126,,5,,
2D9F,2020-04-04 01:06:31,17126,,5,,
2D9F,2020-04-04 01:06:36,17126,,5,,
2D9F,2020-04-04 01:06:41,17126,,5,,
2D9F,2020-04-04 01:06:46,17126,,5,,
2D9F,2020-04-04 01:06:51,17126,,5,,
2D9F,2020-04-04 01:07:02,17126,,5,,
2D9F,2020-04-04 01:07:07,17126,,5,,
2D9F,2020-04-04 01:07:12,17126,,5,,
2D9F,2020-04-04 01:07:17,17126,,5,,
2D9F,2020-04-04 01:07:22,17126,,5,,
2D9F,2020-04-04 01:07:32,17126,,5,,
2D9F,2020-04-04 01:07:42,17126,,5,,
2D9F,2020-04-04 01:07:47,17126,,5,,
2D9F,2020-04-04 01:07:52,17126,,5,,
2D9F,2020-04-04 01:07:57,17126,,5,,
2D9F,2020-04-04 01:08:02,17126,,5,,
2D9F,2020-04-04 01:08:07,17126,,5,,
2D9F,2020-04-04 01:08:12,17126,,5,,
2D9F,2020-04-04 01:08:17,17126,,5,,
2D9F,2020-04-04 01:08:22,17126,,5,,
2D9F,2020-04-04 01:08:27,17126,,5,,
2D9F,2020-04-04 01:08:32,17126,,5,,
2D9F,2020-04-04 01:08:37,17126,,5,,
2D9F,2020-04-04 01:08:42,17126,,5,,
2D9F,2020-04-04 01:08:52,17126,,5,,
2D9F,2020-04-04 01:08:57,17126,,5,,
2D9F,2020-04-04 01:09:03,17126,,5,,
2D9F,2020-04-04 01:09:13,17126,,5,,
2D9F,2020-04-04 01:09:18,17126,,5,,
2D9F,2020-04-04 01:09:43,17126,,5,,
2D9F,2020-04-04 01:09:48,17126,,5,,
2D9F,2020-04-04 01:09:58,17126,,5,,
2D9F,2020-04-04 01:10:03,17126,,5,,
2D9F,2020-04-04 01:10:28,17126,,5,,
2D9F,2020-04-04 01:10:33,17126,,5,,
2D9F,2020-04-04 01:10:38,17126,,5,,
2D9F,2020-04-04 01:10:43,17126,,5,,
2D9F,2020-04-04 01:10:48,17126,,5,,
2D9F,2020-04-04 01:10:53,17126,,5,,
2D9F,2020-04-04 01:11:09,17126,,5,,
2D9F,2020-04-04 01:11:14,17126,,5,,
2D9F,2020-04-04 01:11:24,17126,,5,,
2D9F,2020-04-04 01:11:29,17126,,5,,
2D9F,2020-04-04 01:11:34,17126,,5,,
2D9F,2020-04-04 01:11:39,17126,,5,,
2D9F,2020-04-04 01:11:54,17126,,5,,
2D9F,2020-04-04 01:12:24,17126,,5,,
2D9F,2020-04-04 01:12:49,17126,,5,,
2D9F,2020-04-04 01:13:05,17126,,5,,
2D9F,2020-04-04 01:13:15,17126,,5,,
2D9F,2020-04-04 01:13:20,17126,,5,,
2D9F,2020-04-04 01:13:25,17126,,5,,
2D9F,2020-04-04 01:13:30,17126,,5,,
2D9F,2020-04-04 01:13:35,17126,,5,,
2D9F,2020-04-04 01:14:00,17126,,5,,
2D9F,2020-04-04 01:14:05,17126,,5,,
2D9F,2020-04-04 01:14:10,17126,,5,,
2D9F,2020-04-04 01:14:15,17126,,5,,
2D9F,2020-04-04 01:14:20,17126,,5,,
2D9F,2020-04-04 01:14:25,17126,,5,,
2D9F,2020-04-04 01:14:30,17126,,5,,
2D9F,2020-04-04 01:14:35,17126,,5,,
2D9F,2020-04-04 01:14:51,17126,,5,,
2D9F,2020-04-04 01:15:06,17126,,5,,
2D9F,2020-04-04 01:15:11,17126,,5,,
2D9F,2020-04-04 01:15:21,17126,,5,,
2D9F,2020-04-04 01:15:31,17126,,5,,
2D9F,2020-04-04 01:15:36,17126,,5,,
2D9F,2020-04-04 01:15:46,17126,,5,,
2D9F,2020-04-04 01:15:51,17126,,5,,
2D9F,2020-04-04 01:16:26,17126,,5,,
2D9F,2020-04-04 01:16:31,17126,,5,,
2D9F,2020-04-04 01:16:36,17126,,5,,
2D9F,2020-04-04 01:16:57,17126,,5,,
2D9F,2020-04-04 01:17:02,17126,,5,,
2D9F,2020-04-04 01:17:12,17126,,5,,
2D9F,2020-04-04 01:17:37,17126,,5,,
2D9F,2020-04-04 01:17:42,17126,,5,,
